node,year_construction,capacity_existing
AT,1999,0.1141426135241081
AT,2001,0.06966477463188363
AT,2002,0.11783408194813101
AT,2003,0.03008231164418751
AT,2004,0.0699795006715218
AT,2006,0.20578755346035268
AT,2007,0.3124592680995736
AT,2008,0.31374912930514726
AT,2009,0.19298599283912582
AT,2010,0.28149921020969143
AT,2011,0.26442086432402245
AT,2012,0.1709123265814643
AT,2014,0.12967197997982066
AT,2015,0.021894993929846222
AT,2016,0.019416023596704572
AT,2017,0.1353332150953449
AT,2018,0.1577149563950503
AT,2019,0.03185802490708373
AT,2020,0.22565613742005006
BE,2007,0.00046240159193954434
BE,2008,0.001273648402197259
BE,2010,0.0005420596878437742
BE,2012,0.0004402867914854013
BE,2014,0.004407590260307256
BE,2015,0.0019459771778981543
BE,2018,0.0007384447637666294
BE,2019,0.004720506895895949
BE,2020,0.009007113091578376
BG,2016,0.003342741622180411
BG,2017,0.00013047308779751826
BG,2018,0.27322378785153134
BG,2019,0.09868085164802853
CH,1999,0.09901202091330796
CH,2001,0.060430105022223686
CH,2002,0.10221415320654632
CH,2003,0.02609464053498162
CH,2004,0.06070311139781404
CH,2006,0.17850862984323906
CH,2007,0.2710400842635129
CH,2008,0.2721589631880313
CH,2009,0.16740402702385287
CH,2010,0.24418405035447013
CH,2011,0.2293695872211251
CH,2012,0.14825641652450705
CH,2014,0.11248283526397654
CH,2015,0.018992622737001107
CH,2016,0.016842261404888592
CH,2017,0.11739362460327175
CH,2018,0.1368084721279842
CH,2019,0.02763496761610972
CH,2020,0.19574346081300525
CZ,2003,0.04009035765095273
CZ,2004,0.03003169824727031
CZ,2007,0.012654578438671987
CZ,2008,0.010355186514408296
CZ,2009,0.016069563121454855
CZ,2010,0.0022622560125171443
CZ,2011,0.037776968819353635
CZ,2012,0.0027629056498358062
CZ,2013,0.10529459235478966
CZ,2014,0.0753912970427445
CZ,2015,0.02445153618320034
CZ,2017,0.035288743275970924
CZ,2019,0.03931075904554304
CZ,2020,0.08181639623574471
DE,2003,0.15938550648946398
DE,2004,0.214948741039451
DE,2005,0.0740594940417229
DE,2007,0.1191473670826319
DE,2008,0.044200961381728576
DE,2009,0.24469431959979493
DE,2010,0.12238169715077984
DE,2011,0.2071361248485828
DE,2012,0.14726560319972193
DE,2014,0.24860744468888973
