node,year_construction,capacity_existing
AT,1994,0.13842269957989548
AT,1995,0.03910675323402496
AT,1996,0.03910675323402496
AT,1997,0.17686238815693378
AT,1998,0.045959386927747
AT,1999,0.03910675323402496
AT,2000,0.1028261064434677
AT,2001,0.03910675323402496
AT,2002,0.1251038286019962
AT,2003,0.03910675323402496
AT,2004,0.03910675323402496
AT,2005,0.2000195224185816
AT,2006,0.06514792084024139
AT,2007,0.20225374016556935
AT,2008,0.04246440139723262
AT,2009,0.06185265213582588
AT,2010,0.03910675323402496
AT,2011,0.17448286575277694
AT,2012,0.0669144372819034
AT,2013,0.03910675323402496
AT,2014,0.21869301668412097
AT,2015,0.03910675323402496
AT,2016,0.054845308875095575
AT,2017,0.05871964578191505
AT,2018,0.23676021399336278
AT,2019,0.04884129317606631
AT,2020,0.058567558660828585
BE,1994,0.03423329395652353
BE,1995,0.00457548027274091
BE,1996,0.00457548027274091
BE,1997,0.09504022784645234
BE,1998,0.04404014951722867
BE,1999,0.06777027770765838
BE,2000,0.0684321589459362
BE,2001,0.00457548027274091
BE,2002,0.08741198651542686
BE,2003,0.00457548027274091
BE,2004,0.05797462901278183
BE,2005,0.04342277795950654
BE,2006,0.09267396000854494
BE,2007,0.14824160748762816
BE,2008,0.00457548027274091
BE,2009,0.0966832166448381
BE,2010,0.00457548027274091
BE,2011,0.24132769292867032
BE,2012,0.00457548027274091
BE,2013,0.00457548027274091
BE,2014,0.27492090675079844
BE,2015,0.00457548027274091
BE,2016,0.00987617527004409
BE,2017,0.022330563664314688
BE,2018,0.0443456240081896
BE,2019,0.06495578311590897
BE,2020,0.00457548027274091
BG,1994,0.06154512213805231
BG,1995,0.2636475794532138
BG,1996,0.014876425414894943
BG,1997,0.13480031019777305
BG,1998,0.014876425414894943
BG,1999,0.11805042653984645
BG,2000,0.15477621337822445
BG,2001,0.03629963954977526
BG,2002,0.014876425414894943
BG,2003,0.014876425414894943
BG,2004,0.08304878549091009
BG,2005,0.030989889149542676
BG,2006,0.04860166102233099
BG,2007,0.1792524677289148
BG,2008,0.19049164454918685
BG,2009,0.07519209530189598
BG,2010,0.014876425414894943
BG,2011,0.014876425414894943
BG,2012,0.024145519194978336
BG,2013,0.13110595677104164
BG,2014,0.1085882814714783
BG,2015,0.07795157422168436
BG,2016,0.014876425414894943
BG,2017,0.024174857196423215
BG,2018,0.028034143025031367
BG,2019,0.11173031051562878
BG,2020,0.014876425414894943
BG,2021,0.20732401724615895
CH,1994,0.12007357114515696
CH,1995,0.03392281418403859
CH,1996,0.03392281418403859
CH,1997,0.15341774587344012
CH,1998,0.039867071895035695
CH,1999,0.03392281418403859
CH,2000,0.08919561491786163
CH,2001,0.03392281418403859
CH,2002,0.10852023194001537
CH,2003,0.03392281418403859
CH,2004,0.03392281418403859
CH,2005,0.17350520130324137
CH,2006,0.05651199934483833
CH,2007,0.17544325412558112
CH,2008,0.03683537698500202
CH,2009,0.05365354706480804
CH,2010,0.03392281418403859
CH,2011,0.15135364978548557
CH,2012,0.05804434872308842
CH,2013,0.03392281418403859
CH,2014,0.18970336207475413
CH,2015,0.03392281418403859
CH,2016,0.04757508788066144
CH,2017,0.050935847854517706
CH,2018,0.2053755958058458
CH,2019,0.04236695649482676
CH,2020,0.0508039211993559
CZ,1994,0.17975615643116719
CZ,1995,0.18778983300174407
CZ,1996,0.3467933115703906
CZ,1997,0.023789929437196742
CZ,1998,0.023789929437196742
CZ,1999,0.023789929437196742
CZ,2000,0.13656910340537812
CZ,2001,0.023789929437196742
CZ,2002,0.09703127591598255
CZ,2003,0.03132038340242365
CZ,2004,0.023789929437196742
CZ,2005,0.2117797481454882
CZ,2006,0.13467863234697908
CZ,2007,0.1740199533505914
CZ,2008,0.023789929437196742
CZ,2009,0.034163586168521574
CZ,2010,0.023789929437196742
CZ,2011,0.12580209793344213
CZ,2012,0.030022949218098286
CZ,2013,0.05034060693204101
CZ,2014,0.23448874582836138
CZ,2015,0.03583261344925149
CZ,2016,0.1074616817003831
CZ,2017,0.11931078619466827
CZ,2018,0.3099867196698441
CZ,2019,0.1888327783507289
CZ,2020,0.023789929437196742
CZ,2021,0.11463281549382169
DE,1994,0.4285119234447496
DE,1995,0.12418375013540292
DE,1996,0.12418375013540292
DE,1997,0.47727464915231166
DE,1998,0.4803833098245882
DE,1999,0.9674300054911779
DE,2000,0.8773729294395467
DE,2001,0.12418375013540292
DE,2002,1.123071877816544
DE,2003,0.4778578475822926
DE,2004,0.527203286810781
DE,2005,0.290010085058766
DE,2006,0.12418375013540292
DE,2007,2.4320803552447647
DE,2008,0.12418375013540292
DE,2009,1.1322196576332484
DE,2010,0.12418375013540292
DE,2011,1.0361350914853626
DE,2012,0.12418375013540292
DE,2013,0.12418375013540292
DE,2014,0.8174033772664323
DE,2015,0.12678837338565604
DE,2016,0.12418375013540292
DE,2017,0.2798111071076191
DE,2018,0.12418375013540292
DE,2019,0.12418375013540292
DE,2020,0.3012394171760529
DK,1994,0.019174365097457804
DK,1995,0.005352739883987804
DK,1996,0.005352739883987804
DK,1997,0.022063119889416893
DK,1998,0.009301028728171595
DK,1999,0.014945308868835027
DK,2000,0.018703701666331472
DK,2001,0.005352739883987804
DK,2002,0.011491196979103963
DK,2003,0.005352739883987804
DK,2004,0.010090024401884286
DK,2005,0.008086481255198438
DK,2006,0.014688106796381268
DK,2007,0.011602702025800467
DK,2008,0.00945666818902859
DK,2009,0.005352739883987804
DK,2010,0.005352739883987804
DK,2011,0.037533964293636486
DK,2012,0.009695027476143672
DK,2013,0.009638067672020193
DK,2014,0.03811983957414317
DK,2015,0.005352739883987804
DK,2016,0.008580410897937462
DK,2017,0.009979014343248434
DK,2018,0.018384436795869902
DK,2019,0.034971763323445634
DK,2020,0.03188028851409723
EE,1994,0.002576083282734859
EE,1995,0.002576083282734859
EE,1996,0.002576083282734859
EE,1997,0.0030780143585464846
EE,1998,0.06380133174730805
EE,1999,0.002576083282734859
EE,2000,0.029775692413272933
EE,2001,0.003428960519104207
EE,2002,0.01732631452487598
EE,2003,0.002576083282734859
EE,2004,0.018399039103845556
EE,2005,0.017589467827708205
EE,2006,0.04003054998040094
EE,2007,0.0058956659625075125
EE,2008,0.028515189231187923
EE,2009,0.0064153042831156465
EE,2010,0.002576083282734859
EE,2011,0.011836033573130709
EE,2012,0.0056227353317705
EE,2013,0.005642867653806727
EE,2014,0.01325471552746566
EE,2015,0.01184267354938948
EE,2016,0.003233833406381036
EE,2017,0.002576083282734859
EE,2018,0.013641916374880278
EE,2019,0.02199241060704475
EE,2020,0.002576083282734859
