node,year_construction,capacity_existing
AT,1999,0.013359905056117501
AT,2000,0.011701741264345198
AT,2002,0.3393401803370472
AT,2003,0.09870554544227092
AT,2004,0.07118883939381847
AT,2007,0.07410058607411928
AT,2008,0.013389778911510938
AT,2009,0.0700301492069819
AT,2011,0.17532269330833336
AT,2012,0.10607876450138362
AT,2013,0.05848880330012783
AT,2016,0.09925453484698951
AT,2017,0.0538438706781723
AT,2019,0.08398435401097913
AT,2020,0.050557266690109945
AT,2021,0.8190177193952599
BE,2006,0.025050981217945134
BE,2007,0.06670242371570034
BE,2010,0.020021900355223776
BE,2011,0.026956075547351105
BE,2014,0.1112161603922551
BE,2018,0.02410540530631433
BE,2019,0.0011066158330565457
BE,2020,0.024373926399703927
BG,1999,0.16714694558321336
BG,2003,0.177136457465524
BG,2004,0.1283803238865172
BG,2005,0.15879236374908784
BG,2009,0.10235884376096491
BG,2010,0.14620392748738045
BG,2011,0.025915920694213064
BG,2015,0.09700109915941332
BG,2016,0.026794907311637597
BG,2017,0.1020973473855807
BG,2018,0.21260044508804113
CH,1999,0.011588933860680717
CH,2000,0.010150574049565986
CH,2002,0.2943576986272616
CH,2003,0.08562126998717656
CH,2004,0.06175214179204125
CH,2007,0.0642779112159495
CH,2008,0.011614847677647422
CH,2009,0.060747046030966034
CH,2011,0.1520821509203989
CH,2012,0.09201710496185989
CH,2013,0.050735605544229845
CH,2016,0.086097486088621
CH,2017,0.046706398995451925
CH,2019,0.07285150005759655
CH,2020,0.04385546284853192
CH,2021,0.710449822878864
CZ,1999,0.3734444850278847
CZ,2000,0.04358675219748961
CZ,2001,0.05766441886406278
CZ,2002,0.0640975190608312
CZ,2004,0.03672604564051752
CZ,2005,0.12842388358485102
CZ,2007,0.08521741424749664
CZ,2009,0.05560828406813632
CZ,2010,0.37449512877599417
CZ,2012,0.08488776652418067
CZ,2013,0.07169019530755785
CZ,2016,0.10263457570063883
CZ,2018,0.06988140071832191
CZ,2020,0.21609645160436272
CZ,2021,0.3224633316710553
DE,2001,0.6339811905000072
DE,2002,0.5343895649437069
DE,2003,2.010504944983918
DE,2004,1.6790803410168529
DE,2005,0.501458937323406
DE,2007,1.3602463852278142
DE,2010,1.5039288839652443
DE,2015,0.34801013325884966
DE,2016,0.6876970685789008
DE,2017,0.9119398359414284
DE,2019,0.9788064783183632
DK,1999,0.20622889083442653
DK,2000,0.47766794878115304
DK,2002,0.16266584136481166
DK,2008,0.13410503824584685
DK,2010,0.42981700102044007
DK,2016,0.1237706921826236
DK,2018,0.08609146791561884
EE,2000,0.059126268347413524
EE,2002,0.048481484874457026
EE,2004,0.1044788628928146
EE,2005,0.0789332507020084
EE,2006,0.008837131707370105
EE,2012,0.023037976361279577
EE,2017,0.03537092653676088
EE,2019,0.025573300215589345
EL,2020,0.029586119764530277
FI,1999,0.001490905165537727
FI,2000,0.29851224628989104
FI,2004,0.16327037942864162
FI,2005,0.04699285885848438
FI,2007,0.04074644060886304
FI,2008,0.2023788982047439
FI,2018,0.2882427462202987
FI,2020,0.13060290546590725
FR,2001,0.8593312627163456
FR,2002,1.2589596609929519
FR,2005,0.4668426954472764
FR,2008,0.08919344632154136
FR,2015,0.30291651891949023
FR,2016,0.14634390167919964
FR,2018,0.2193221676124466
FR,2019,0.04565393657566874
FR,2020,0.25072970567224306
HR,2000,0.0038453533389299355
HR,2001,0.09120510748423616
HR,2002,0.013284914400736425
HR,2004,0.06661844525655813
HR,2007,0.09275695029204423
HR,2008,0.0061789706862146465
HR,2010,0.1077196584294372
HR,2011,0.024376046726844125
HR,2012,0.061262484041670784
HR,2013,0.07173654929984685
HR,2016,0.047575007236709266
HR,2020,0.021707721918822087
HU,1999,0.0025488392166337377
HU,2000,0.0025488392166337377
HU,2001,0.5975106842008385
HU,2002,0.0025488392166337377
HU,2003,0.027666711567777537
HU,2004,0.17814847438755482
HU,2005,0.10326335871525126
HU,2006,0.0025488392166337377
HU,2007,0.3180787609722993
HU,2008,0.0025488392166337377
HU,2009,0.0025488392166337377
HU,2010,0.005056235152261454
HU,2011,0.0025488392166337377
HU,2012,0.12632616727213403
HU,2013,0.0025488392166337377
HU,2014,0.0025488392166337377
HU,2015,0.0795910216603733
HU,2017,0.5294052547027283
HU,2018,0.0382245151395855
HU,2019,0.02921543093889379
HU,2020,0.4161773622764915
IT,2011,1.2687311820492182
IT,2012,0.41209108670759287
IT,2013,0.6844795904337944
IT,2014,0.4659373665111253
IT,2016,0.2079619220592157
IT,2018,0.8113406593527848
IT,2020,0.0246583099564055
LT,2000,0.021919486916188502
