edge,capacity_limit
AL-EL,1.0
AL-ME,1.0
AL-MK,1.5
AL-RS,1.0
AT-CH,3.3
AT-CZ,2.4
AT-DE,11.92
AT-HU,2.4
AT-IT,1.795
AT-SI,2.95
AT-SK,0.0
BA-HR,2.498
BA-ME,1.0
BA-RS,3.31
BE-DE,3.5
BE-FR,3.7
BE-LU,0.5
BE-NL,5.401
BE-NO,0.0
BE-UK,5.55
BG-EL,1.75
BG-MK,1.0
BG-RO,2.2
BG-RS,1.49
BG-TR,2.1
CH-AT,1.2
CH-DE,8.2
CH-FR,3.8
CH-IT,7.91
CY-EL,1.0
CY-IL,1.0
CZ-AT,0.9
CZ-DE,4.2
CZ-PL,2.3
CZ-SK,3.0
DE-AT,4.82
DE-BE,0.5
DE-CH,0.8
DE-CZ,2.5
DE-DK,5.35
DE-FR,4.7
DE-LU,6.220000000000001
DE-NL,4.468
DE-NO,3.444
DE-PL,2.1
DE-SE,3.5
DE-UK,2.8
DK-DE,1.149
DK-NL,2.7
DK-NO,3.1100000000000003
DK-SE,5.115
DK-UK,1.4
EE-FI,2.716
EE-LV,2.3440000000000003
EL-BG,0.75
EL-IT,2.5
EL-MK,1.5
EL-TR,1.6
ES-FR,8.8
ES-PT,4.9
FI-EE,1.016
FI-NO,1.0
FI-SE,7.8
FR-BE,1.8
FR-CH,3.2
FR-DE,1.5
FR-ES,3.45
FR-IE,2.1
FR-IT,5.095000000000001
FR-LU,0.0
FR-NO,0.0
FR-UK,10.615
HR-HU,2.0
HR-RS,1.6
HR-SI,3.1
HU-AT,0.5
HU-HR,1.2
HU-RO,3.7270000000000003
HU-RS,1.5
HU-SI,1.0
HU-SK,2.0
IE-UK,2.154
IT-AT,0.145
IT-CH,1.91
IT-EL,0.5
IT-FR,1.16
IT-ME,1.6
IT-SI,2.825
IT-TN,0.6
LT-LV,2.234
LT-PL,1.2
LT-SE,2.3
LU-BE,0.0
LU-DE,4.82
LU-FR,0.0
LV-EE,1.159
LV-LT,1.152
LV-SE,0.5
ME-RS,1.24
MK-RS,1.0
NL-BE,1.2
NL-DE,1.468
NL-DK,0.7
NL-NO,2.7
NL-UK,5.061
NO-BE,0.0
NO-DE,1.444
NO-DK,1.632
NO-FI,0.0
NO-FR,0.0
NO-NL,0.7
NO-SE,4.695
NO-UK,3.45
PL-CZ,0.9
PL-DE,1.2
PL-LT,0.35
PL-SE,1.27
PL-SK,1.5
PT-ES,4.4
RO-BG,1.2
RO-HU,0.7
RO-RS,2.524
SE-DE,0.615
SE-DK,1.9
SE-FI,2.7
SE-LT,0.7
SE-NO,3.995
SE-PL,0.6
SI-AT,0.95
SI-HR,1.1
SI-HU,0.0
SI-IT,0.62
SK-AT,0.0
SK-CZ,1.0
SK-HU,1.0
SK-PL,0.5
UK-BE,0.75
UK-DE,0.0
UK-DK,0.0
UK-FR,3.015
UK-IE,0.98
UK-NL,1.061
UK-NO,1.05
